"Date","Price","Open","High","Low","Vol.","Change"
"Jul 02, 2014","843.61","845.05","846.37","842.41","-","0.41%"
"Jul 01, 2014","840.18","832.54","842.77","830.83","-","1.14%"
"Jun 30, 2014","830.73","829.51","830.78","823.43","-","0.43%"
"Jun 27, 2014","827.21","832.54","833.17","821.72","-","-0.74%"
"Jun 26, 2014","833.34","834.04","835.75","832.20","-","0.17%"
"Jun 25, 2014","831.89","833.72","836.35","831.89","-","-0.60%"
"Jun 24, 2014","836.93","833.86","839.48","830.63","-","-0.12%"
"Jun 23, 2014","837.94","842.14","842.94","836.56","-","-0.32%"
"Jun 20, 2014","840.63","841.79","843.94","837.96","-","0.10%"
"Jun 19, 2014","839.83","826.00","841.10","825.92","-","1.81%"
"Jun 18, 2014","824.90","819.40","825.75","818.42","-","0.90%"
"Jun 17, 2014","817.52","818.14","821.19","816.55","-","0.11%"
"Jun 16, 2014","816.65","821.36","821.59","813.85","-","-0.78%"
"Jun 13, 2014","823.09","812.07","824.29","812.07","-","0.48%"
"Jun 12, 2014","819.19","813.93","819.60","811.08","-","-0.08%"
"Jun 11, 2014","819.83","813.89","819.83","813.82","-","0.86%"
"Jun 10, 2014","812.81","818.04","821.06","811.01","-","-0.47%"
"Jun 09, 2014","816.65","822.72","822.86","816.51","-","-0.01%"
"Jun 06, 2014","816.75","819.76","820.64","815.43","-","0.06%"
"Jun 05, 2014","816.26","818.69","820.22","814.09","-","-0.13%"
"Jun 04, 2014","817.33","815.53","817.33","812.64","-","0.55%"
"Jun 03, 2014","812.84","814.66","815.47","812.10","-","0.74%"
"Jun 02, 2014","806.90","800.90","808.56","800.90","-","1.54%"
"May 30, 2014","794.69","795.79","797.28","792.01","-","0.14%"
"May 29, 2014","793.61","788.36","795.75","788.36","-","0.20%"
"May 28, 2014","792.03","792.95","794.48","790.52","-","0.10%"
"May 27, 2014","791.23","790.25","797.99","790.06","-","0.05%"
"May 26, 2014","790.87","789.26","790.99","787.79","-","1.18%"
"May 23, 2014","781.66","778.50","786.27","778.50","-","1.03%"
"May 22, 2014","773.71","767.12","776.57","765.01","-","1.66%"
"May 21, 2014","761.04","758.16","762.51","757.16","-","-0.35%"
"May 20, 2014","763.71","765.86","768.08","762.34","-","0.21%"
"May 19, 2014","762.11","767.64","768.98","761.39","-","-0.78%"
"May 16, 2014","768.09","770.46","770.46","763.16","-","-1.76%"
"May 15, 2014","781.82","778.84","781.82","772.54","-","-0.47%"
"May 14, 2014","785.48","781.72","785.48","780.44","-","0.36%"
"May 13, 2014","782.67","778.80","783.95","778.43","-","1.98%"
"May 12, 2014","767.44","770.60","773.51","767.44","-","-0.55%"
"May 09, 2014","771.69","764.11","775.04","764.11","-","0.54%"
"May 08, 2014","767.51","766.07","772.31","764.27","-","0.79%"
"May 07, 2014","761.46","773.92","774.07","761.46","-","-2.56%"
"May 02, 2014","781.43","779.52","781.45","777.16","-","0.13%"
"May 01, 2014","780.39","770.99","780.84","770.99","-","1.72%"
"Apr 30, 2014","767.18","771.22","772.74","766.07","-","0.34%"
"Apr 28, 2014","764.56","763.74","765.48","761.10","-","-0.77%"
"Apr 25, 2014","770.47","766.44","776.16","764.26","-","0.30%"
"Apr 24, 2014","768.15","775.66","776.09","765.93","-","-0.96%"
"Apr 23, 2014","775.60","773.45","775.64","771.32","-","0.90%"
"Apr 22, 2014","768.69","776.82","778.48","768.69","-","-0.67%"
"Apr 21, 2014","773.86","777.11","781.23","772.70","-","-0.21%"
"Apr 18, 2014","775.48","775.24","775.57","771.48","-","0.49%"
"Apr 17, 2014","771.68","772.24","776.29","768.12","-","-0.04%"
"Apr 16, 2014","772.02","758.74","772.02","758.39","-","2.67%"
"Apr 15, 2014","751.94","756.32","757.34","750.47","-","0.41%"
"Apr 14, 2014","748.89","744.83","756.52","744.83","-","0.03%"
"Apr 11, 2014","748.68","744.55","753.42","739.96","-","-1.39%"
"Apr 10, 2014","759.23","769.14","770.29","757.13","-","-0.16%"
"Apr 09, 2014","760.47","766.76","769.39","756.83","-","-2.07%"
"Apr 08, 2014","776.57","785.17","785.32","775.97","-","-1.93%"
"Apr 07, 2014","791.89","797.07","797.79","789.67","-","-1.68%"
"Apr 04, 2014","805.45","803.52","807.75","803.47","-","-0.10%"
"Apr 03, 2014","806.27","805.12","810.71","803.53","-","0.54%"
"Apr 02, 2014","801.90","801.22","809.65","801.00","-","0.69%"
